Name,ID,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
Fang (Cameroon),fang1248,3,0,10,0,0,21,18,17,7,13,0,0,5,1,14,4,3,10,6,10,5,18,12,1,6,5,8,0,0,25,0,0,0,0,0,0,0
Faroese,faro1244,0,0,20,0,5,14,25,28,5,23,0,1,2,1,17,12,2,7,6,1,2,23,14,4,13,9,8,0,0,26,0,4,0,0,0,0,0
Fasu,fasu1242,0,0,10,0,0,8,15,16,3,13,1,0,7,0,8,5,0,4,4,0,1,13,7,2,5,5,6,0,0,15,0,1,0,0,0,0,0
Fe'fe',fefe1239,5,0,16,0,8,20,22,27,10,19,0,0,3,1,12,7,2,10,6,4,6,22,12,4,5,7,12,0,0,30,0,1,1,0,0,0,0
Fe'fe',fefe1239,0,0,8,0,0,15,12,14,7,9,0,0,3,0,7,3,2,7,5,2,4,12,7,2,2,6,4,0,0,18,0,1,1,0,0,0,0
Pichi,fern1234,2,0,7,0,0,18,14,16,8,10,0,0,4,1,9,4,2,9,5,4,4,14,8,1,5,5,6,0,0,20,0,1,0,0,0,0,0
Fijian,fiji1243,0,0,11,0,0,17,22,20,4,16,0,2,7,1,11,6,1,8,8,4,1,16,13,3,7,7,10,0,0,24,0,0,1,0,0,0,0
Filipino,fili1244,0,0,10,0,5,14,17,17,3,14,1,0,3,1,9,5,1,6,6,3,1,15,9,2,5,5,10,0,0,20,0,1,1,0,0,0,0
Finnish,finn1318,0,0,16,0,17,24,26,27,6,21,0,2,5,2,15,8,2,12,11,1,3,21,10,4,11,4,12,0,0,30,0,1,1,0,0,0,0
Finnish,finn1318,0,0,8,0,1,12,15,15,3,12,0,1,3,1,8,4,2,6,6,1,1,11,6,2,6,3,4,0,0,16,0,1,1,0,0,0,0
Finnish,finn1318,0,0,8,0,0,15,14,16,5,11,0,1,3,1,9,4,2,7,6,5,2,12,7,2,6,2,6,0,0,18,0,1,0,0,0,0,0
Fipa,fipa1238,1,0,14,0,7,18,21,23,7,17,0,0,4,1,12,7,2,10,6,4,5,20,14,2,8,7,10,0,0,27,0,0,0,0,0,0,0
Fon,fonn1241,4,0,14,0,0,21,21,24,8,18,0,1,10,1,14,7,2,11,7,3,4,22,12,2,8,7,10,0,0,29,0,1,0,0,0,0,0
Foodo,food1238,3,0,18,0,9,20,26,27,7,22,0,1,4,1,17,9,2,9,7,2,4,26,16,2,9,9,10,0,0,33,0,1,0,0,0,0,0
Forest Enets,fore1265,0,0,8,0,0,23,16,19,8,12,0,1,4,1,7,4,0,15,13,5,6,20,15,1,9,6,8,0,0,21,0,0,1,0,0,0,0
Forest Nenets,fore1274,0,0,13,1,6,22,25,26,7,19,0,1,6,4,10,6,0,11,11,2,3,29,20,4,18,7,7,0,0,25,0,0,1,0,0,0,0
Friulian,friu1240,0,0,14,0,7,23,21,24,10,18,1,0,3,1,12,7,2,16,9,11,8,21,11,2,10,7,10,0,0,30,0,0,0,0,0,0,0
Friulian,friu1240,0,0,14,0,7,23,21,24,10,18,0,1,3,1,12,7,2,16,9,11,8,21,11,2,10,7,10,0,0,30,0,0,0,0,0,0,0
Fuliiru,fuli1240,2,0,10,0,5,21,20,21,8,14,0,1,6,1,11,5,2,12,8,4,5,16,10,2,6,5,10,0,0,27,0,1,0,0,0,0,0
Fuliiru,fuli1240,0,0,10,0,5,22,22,23,9,14,0,1,8,1,11,5,2,13,9,4,6,17,11,2,7,5,10,0,0,28,0,1,0,0,0,0,0
Fulniô,fuln1247,0,0,12,0,5,18,18,20,8,16,0,0,2,2,10,6,0,12,7,5,6,17,9,2,7,6,10,0,0,20,0,5,0,0,0,0,0
Fulniô,fuln1247,0,0,12,0,0,17,16,15,5,14,0,0,7,2,8,5,0,11,6,5,2,19,11,2,10,5,8,0,0,18,0,6,1,0,0,0,0
Fur,furr1244,0,0,11,0,3,16,19,19,5,15,0,1,4,1,9,5,1,9,6,3,3,17,10,2,6,5,8,0,0,23,0,1,0,0,0,0,0
Furu,furu1242,0,0,10,0,0,28,23,21,7,14,1,0,9,1,17,7,2,12,10,2,4,22,17,2,10,7,9,0,0,33,0,1,0,0,0,2,0
Fwâi,fwai1237,0,0,16,7,0,17,21,23,7,18,0,0,3,2,10,5,2,8,5,3,3,20,11,3,6,5,10,0,0,22,0,5,1,0,0,0,0
Fwe,fwee1238,0,0,10,0,3,46,25,34,20,17,0,1,10,1,33,25,3,27,17,10,11,25,19,2,10,5,6,0,0,43,0,3,0,0,0,0,3
Ga,gaaa1244,0,0,12,0,0,25,22,24,11,17,0,1,10,1,18,10,2,14,7,8,8,22,14,2,8,6,9,0,0,30,0,5,0,0,0,0,0
Ga,gaaa1244,3,0,16,0,0,27,25,26,11,19,0,1,11,2,18,10,2,16,8,8,8,23,15,2,8,6,9,0,0,33,0,5,0,0,0,0,0
Ga,gaaa1244,2,0,12,0,0,21,20,21,8,15,0,0,10,1,14,6,2,10,6,4,5,21,13,2,7,6,8,0,0,27,0,1,0,0,0,0,0
Gaa,gaaa1245,3,0,9,0,0,21,16,15,4,12,1,0,4,1,17,6,3,8,6,2,2,17,11,1,6,4,6,0,0,25,0,0,0,0,0,2,0
Gaam,gaam1241,0,0,9,0,0,21,17,20,7,13,0,1,4,1,8,4,1,13,9,8,3,17,11,1,8,4,6,0,0,23,0,1,1,0,0,0,0
Gaam,gaam1241,3,0,12,0,18,32,26,22,5,18,1,1,8,2,12,5,2,20,15,8,2,24,16,2,10,5,6,0,0,37,0,0,0,0,0,0,0
Gade Lohar,gade1236,0,0,19,0,1,28,28,27,6,25,1,1,12,2,13,8,0,19,8,9,1,29,18,3,14,8,9,0,0,38,0,11,0,0,0,0,0
Gadsup,gads1258,0,0,6,0,3,8,9,8,1,7,0,0,2,0,5,2,0,3,3,0,0,8,4,1,3,2,5,0,0,11,0,0,1,0,0,0,0
Gadsup,gads1258,4,0,6,0,3,8,9,8,1,7,0,0,2,0,5,2,0,3,3,1,0,8,4,1,3,2,5,0,0,11,0,0,1,0,0,0,0
Gagauz,gaga1249,0,0,18,0,6,26,25,32,12,22,0,1,3,2,13,7,2,16,15,4,8,31,22,3,20,6,9,0,0,35,0,1,0,0,0,0,0
Gaagudju,gaga1251,0,0,10,0,5,15,22,17,0,17,0,1,5,3,7,5,0,11,7,3,0,17,11,2,8,5,10,0,0,22,0,0,0,0,0,0,0
Gagnoa Bété,gagn1235,2,0,26,0,13,21,33,35,6,29,0,0,4,1,19,11,2,9,6,3,2,37,23,2,12,11,14,0,0,42,0,0,0,0,0,0,0
Gban,gagu1242,4,0,12,0,0,18,17,19,4,15,0,0,7,1,14,8,0,8,6,2,2,22,14,2,8,6,8,0,0,25,0,0,0,0,0,0,0
Galician,gali1258,0,0,7,0,0,19,18,19,6,14,1,1,4,1,9,4,1,13,9,8,3,14,8,2,6,5,6,0,0,21,0,0,0,0,0,0,0
Galician,gali1258,0,0,7,0,0,16,19,19,5,15,1,1,4,1,8,4,1,12,8,7,3,14,9,1,6,5,7,0,0,20,0,0,0,0,0,0,0
Galibi Carib,gali1262,0,0,6,0,0,13,12,12,3,9,1,0,3,0,8,4,0,5,5,0,1,11,8,1,3,4,5,0,0,16,0,1,1,0,0,0,0
Galibi Carib,gali1262,0,0,6,0,0,7,11,10,1,9,1,0,2,0,5,3,0,4,4,0,1,9,6,1,3,3,7,0,0,11,0,0,0,0,0,0,0
Galibi Carib,gali1262,0,0,12,0,6,13,18,18,3,15,1,0,3,0,11,7,0,5,5,0,1,17,11,2,5,7,8,0,0,22,0,1,1,0,0,0,0
Galibi Carib,gali1262,0,0,6,0,0,7,11,10,1,9,1,0,2,0,5,3,0,4,4,0,1,9,6,1,3,3,7,0,0,11,0,0,0,0,0,0,0
Galibi Carib,gali1262,0,0,6,0,0,8,11,11,2,9,0,0,2,1,5,3,0,4,3,0,1,9,6,1,3,3,7,0,0,11,0,1,1,0,0,0,0
Galo,galo1242,0,0,12,0,4,15,19,17,4,15,1,0,4,1,8,5,0,9,6,6,1,19,12,2,7,5,8,0,0,23,0,1,0,0,0,0,0
Gambera,gamb1251,0,0,5,0,0,18,19,13,0,13,0,1,6,4,5,3,0,14,10,6,0,12,9,1,6,3,6,0,0,19,0,0,0,0,0,0,0
Yuwaalaraay-Gamilaraay,gami1243,0,0,6,0,3,12,16,11,0,11,0,1,5,1,5,3,0,9,8,4,0,12,10,2,5,3,6,0,0,16,0,0,0,0,0,0,0
Gamo,gamo1243,0,0,10,0,5,23,16,19,10,14,1,0,2,1,10,5,1,14,10,6,8,15,9,2,5,5,2,0,0,22,0,6,4,0,3,2,0
Birrdhawal,gana1268,0,0,8,0,4,15,19,13,0,13,0,1,6,1,5,3,0,11,8,4,0,14,10,2,7,3,8,0,0,19,0,0,0,0,0,0,0
Ganda,gand1255,4,0,10,0,5,17,17,17,6,13,0,0,4,1,10,5,2,9,6,3,4,16,10,2,6,5,10,0,0,23,0,0,0,0,0,0,0
Ganggalida,gang1267,0,0,6,0,3,16,18,12,0,12,0,1,6,2,5,3,0,12,8,4,0,12,10,2,5,3,6,0,0,18,0,0,0,0,0,0,0
Gangulu,gang1268,0,0,3,0,0,12,13,8,0,8,0,1,5,1,4,2,0,9,8,4,0,9,8,1,4,2,4,0,0,13,0,0,0,0,0,0,0
Gangulu,gang1268,0,0,3,0,0,12,13,8,0,8,0,1,5,1,4,2,0,9,8,4,0,9,8,1,4,2,4,0,0,13,0,0,0,0,0,0,0
Gangulu,gang1268,0,0,6,0,2,14,17,12,0,12,0,1,5,2,5,3,0,10,6,2,0,10,7,2,2,3,5,0,0,17,0,0,0,0,0,0,0
Gangulu,gang1268,0,0,3,0,0,12,13,8,0,8,0,1,5,1,4,2,0,9,8,4,0,9,8,1,4,2,4,0,0,13,0,0,0,0,0,0,0
Gangulu,gang1268,0,0,3,0,0,12,13,8,0,8,0,1,5,1,4,2,0,9,8,4,0,9,8,1,4,2,4,0,0,13,0,0,0,0,0,0,0
Garrwa,gara1269,0,0,3,0,0,17,16,10,0,10,0,1,6,3,4,2,0,13,5,4,0,9,8,1,4,2,2,0,0,16,0,0,0,0,0,0,0
Garrwa,gara1269,0,0,3,0,0,11,13,9,0,9,0,1,4,2,4,2,0,8,7,3,0,10,9,1,5,2,4,0,0,13,0,0,0,0,0,0,0
Garrwa,gara1269,0,0,3,0,0,11,13,9,0,9,0,1,4,2,4,2,0,8,7,3,0,10,9,1,5,2,4,0,0,13,0,0,0,0,0,0,0
Garo,garo1247,0,0,5,0,0,19,15,11,4,9,2,0,6,1,7,3,0,10,10,1,3,10,7,1,2,2,4,0,0,19,0,4,5,0,0,0,0
Garo,garo1247,0,0,5,0,0,15,9,9,5,6,1,0,3,0,5,2,0,8,8,3,4,8,5,1,2,2,4,0,0,14,0,1,1,0,0,0,0
Gata',gata1239,0,0,17,0,0,22,23,22,2,20,1,1,13,1,14,10,0,13,6,3,1,24,17,4,13,9,14,0,0,32,0,1,1,0,0,0,0
Gata',gata1239,0,0,14,0,1,21,25,21,4,19,1,1,9,1,10,7,0,14,7,4,1,22,13,3,10,7,7,0,0,30,0,1,1,0,0,0,0
Gavar,gava1241,3,0,5,0,0,45,21,22,18,10,1,1,11,3,21,9,3,20,15,5,10,22,19,1,3,3,5,0,0,36,0,0,2,0,0,2,0
Gavião Do Jiparaná,gavi1246,0,0,10,0,0,18,17,14,5,13,1,0,9,1,6,2,0,10,7,3,2,17,11,2,8,2,9,0,0,23,0,0,1,0,0,0,0
Gayo,gayo1244,0,0,8,0,0,16,16,14,4,12,0,1,4,1,7,4,0,9,6,3,3,14,8,1,5,4,6,0,0,20,0,1,1,0,0,0,0
Gbagyi,gbag1258,0,0,6,0,0,17,12,15,5,10,1,0,3,1,11,3,2,7,7,0,2,12,9,1,4,3,5,0,0,19,0,1,0,0,0,1,0
Gbari,gbar1246,0,0,7,0,0,21,12,15,8,10,0,0,2,1,11,3,2,10,8,2,5,14,10,1,5,3,6,0,0,21,0,1,1,0,1,2,0
Gbaya-Mbodomo,gbay1281,2,0,7,0,0,25,20,17,6,11,0,1,9,1,14,4,2,11,10,1,3,17,12,1,5,4,6,0,0,28,0,1,0,0,0,2,0
Gbaya-Mbodomo,gbay1281,3,0,7,0,0,25,20,17,6,11,0,1,9,1,14,4,2,11,10,1,3,17,12,1,5,4,6,0,0,28,0,1,0,0,0,2,0
Gbaya-Bossangoa,gbay1287,4,0,12,0,0,26,25,21,5,16,0,1,14,1,17,6,2,10,9,1,2,23,15,2,7,6,8,0,0,33,0,1,1,0,0,2,0
Gbaya-Bossangoa,gbay1287,2,0,12,0,0,28,27,22,5,17,2,0,15,1,19,6,3,10,10,0,2,22,14,3,6,6,8,0,0,35,0,1,3,0,0,2,0
Gbaya-Bossangoa,gbay1287,0,0,12,0,0,28,27,22,5,17,2,0,15,1,19,6,3,10,10,2,2,24,16,3,8,6,8,0,0,35,0,1,3,0,0,2,0
Gbaya (Sudan),gbay1288,5,0,10,0,0,38,24,30,16,17,2,1,7,2,16,6,3,19,14,6,8,23,15,4,6,7,6,0,0,36,0,1,1,0,0,2,0
Gbesi Gbe,gbes1238,3,0,13,0,0,26,24,33,12,21,0,2,12,1,19,11,2,12,8,3,4,27,14,2,9,11,11,0,0,35,0,0,0,0,0,0,0
Gen,genn1243,3,0,14,0,0,24,21,26,11,17,0,0,11,1,16,7,2,10,6,3,4,24,14,2,8,7,10,0,0,31,0,1,0,0,0,0,0
Gen,genn1243,3,0,12,0,0,22,19,22,9,15,0,0,9,1,13,6,2,10,6,3,4,22,14,2,7,6,8,0,0,28,0,1,0,0,0,0,0
Gheg Albanian,gheg1238,0,0,16,0,5,25,24,30,13,21,1,1,8,2,12,7,2,17,13,9,8,21,12,3,9,6,14,0,0,33,0,1,0,0,0,0,0
Godoberi,ghod1238,0,0,13,0,17,51,18,36,28,16,0,1,5,5,14,10,0,28,16,12,13,36,20,4,11,14,11,1,0,28,0,14,11,0,9,0,0
Ghomálá',ghom1247,5,0,18,0,8,32,26,33,21,22,0,0,4,1,21,12,4,16,11,8,9,29,16,4,9,8,12,0,0,38,0,1,1,0,0,0,0
Gidar,gida1247,2,0,8,0,0,26,17,18,7,11,0,1,6,1,14,5,2,13,10,1,4,16,11,1,4,3,7,0,0,27,0,1,1,0,0,2,0
Gikyode,giky1238,0,0,22,0,0,25,31,33,7,26,0,1,16,1,23,16,1,11,8,3,3,35,21,2,13,11,10,0,0,37,0,2,0,0,0,0,0
Nivkh,gily1242,0,0,6,0,0,25,15,20,11,11,0,2,4,1,8,3,0,11,8,3,2,20,13,1,6,7,5,0,0,18,0,6,0,0,0,0,0
Nivkh,gily1242,0,0,10,0,4,30,20,25,10,16,0,2,4,1,11,5,2,14,10,4,4,27,17,2,10,11,7,0,0,27,0,6,0,0,0,0,0
Nivkh,gily1242,0,0,7,0,0,25,16,21,9,12,0,2,4,1,8,3,0,11,10,1,2,18,10,1,4,8,3,0,0,19,0,6,0,0,0,0,0
Ginyanga,giny1241,0,0,22,0,0,27,33,34,8,28,0,1,16,2,25,18,1,13,10,3,5,34,20,2,12,11,11,0,0,39,0,1,0,0,0,0,0
Giryama,giry1241,2,0,5,0,0,36,21,18,15,9,0,1,12,1,14,3,2,20,15,9,9,16,13,1,4,3,6,0,0,33,0,2,1,0,0,0,0
Giryama,giry1241,2,0,5,0,0,36,21,18,15,9,0,1,12,1,14,3,2,20,15,9,9,16,13,1,4,3,6,0,0,33,0,2,1,0,0,0,0
Giryama,giry1241,2,0,5,0,0,36,21,18,15,9,0,1,12,1,14,3,2,20,15,9,9,16,13,1,4,3,6,0,0,33,0,2,1,0,0,0,0
Giryama,giry1241,2,0,5,0,0,36,21,18,15,9,0,1,12,1,14,3,2,20,15,9,9,16,13,1,4,3,6,0,0,33,0,2,1,0,0,0,0
Glavda,glav1244,2,0,7,0,3,32,15,23,16,11,0,1,4,3,9,3,2,21,12,9,8,19,15,2,8,3,6,0,0,29,0,0,0,0,0,2,0
Godié,godi1239,3,0,13,0,0,24,21,21,5,16,0,0,5,1,17,9,2,9,6,3,2,27,20,1,8,6,8,0,0,31,0,0,0,0,0,1,0
Golin,goli1247,0,0,10,0,5,11,16,15,1,14,0,1,2,1,8,5,0,6,6,0,1,14,8,2,5,7,2,0,0,19,0,0,0,0,0,0,0
Gonja,gonj1241,2,0,14,0,7,20,22,23,7,18,0,1,4,1,13,7,1,11,7,4,5,22,12,2,8,7,10,0,0,28,0,1,0,0,0,0,0
Gooniyandi,goon1238,0,0,4,0,1,17,17,11,0,11,0,1,6,3,4,2,0,13,9,5,0,11,9,2,5,2,4,0,0,17,0,0,0,0,0,0,0
Gourmanchéma,gour1243,3,0,10,0,5,18,18,15,4,13,0,0,5,1,12,5,1,8,5,3,3,19,13,2,6,5,10,0,0,23,0,0,0,0,0,0,0
Grass Koiari,gras1249,0,0,5,0,0,10,8,9,3,6,1,0,2,0,5,2,1,5,5,1,0,7,4,1,2,2,2,0,0,12,0,1,0,0,0,0,0
Guahibo,guah1255,0,0,18,0,6,14,24,26,5,22,1,0,8,1,11,7,0,8,8,0,2,22,13,3,7,7,17,0,0,26,0,2,0,0,0,0,0
Guahibo,guah1255,0,0,12,0,0,15,17,20,6,15,0,1,8,1,9,4,2,8,8,1,2,15,7,2,5,4,5,0,0,20,0,2,0,0,0,0,0
Guajajára,guaj1255,0,0,7,0,0,12,13,11,3,9,1,0,4,0,7,5,0,5,5,1,2,12,8,1,2,3,5,0,0,14,0,1,1,0,0,0,0
Guajajára,guaj1255,0,0,7,0,0,12,14,12,3,10,1,0,4,0,7,5,0,5,5,0,2,13,9,1,3,3,5,0,0,15,0,1,1,0,0,0,0
Guajá,guaj1256,0,0,12,0,0,9,17,16,2,15,1,0,8,0,8,6,0,4,3,1,1,16,10,2,5,5,12,0,0,17,0,1,1,0,0,0,0
Guambiano,guam1248,0,0,5,0,0,18,13,14,7,10,1,0,3,2,5,3,0,13,6,5,7,11,8,1,5,2,6,0,0,14,0,0,1,0,0,0,0
Guambiano,guam1248,0,0,6,0,0,16,14,14,6,11,1,0,3,2,6,3,0,12,6,4,6,11,7,1,5,2,3,0,0,14,0,0,0,0,0,0,0
Kotiria,guan1269,0,0,12,0,0,13,15,17,3,15,1,0,6,0,8,5,0,6,5,1,2,17,11,2,5,5,12,0,0,18,0,4,1,0,0,0,0
Kotiria,guan1269,2,0,6,0,0,13,9,11,3,9,1,0,0,0,7,4,0,6,5,1,2,11,8,1,3,3,7,0,0,12,0,4,1,0,0,0,0
Kinikinao,guan1270,0,0,10,0,0,10,16,17,3,14,1,0,7,1,7,5,0,6,5,1,2,13,7,2,5,5,10,0,0,16,0,1,1,0,0,0,0
Guarayu,guar1292,0,0,12,0,0,13,17,16,3,14,1,0,9,0,9,6,0,6,4,2,2,17,11,2,6,4,11,0,0,19,0,0,1,0,0,0,0
Baniva de Maroa,guar1293,0,0,8,0,4,14,14,13,5,11,1,0,3,1,6,3,0,9,5,4,4,13,9,2,6,3,8,0,0,18,0,1,0,0,0,0,0
Guató,guat1253,0,0,8,0,0,15,12,13,5,10,1,0,2,0,10,5,2,6,4,2,2,13,8,1,4,3,6,0,0,18,0,1,0,0,0,0,0
Guayabero,guay1257,0,0,6,0,0,13,12,14,5,10,1,0,2,1,7,3,0,7,6,1,2,10,7,1,3,3,7,0,0,14,0,1,0,0,0,0,0
Gude,gude1246,2,0,4,0,0,28,16,16,11,8,1,0,8,2,9,1,3,13,13,0,5,12,9,1,1,2,3,0,0,25,0,0,1,0,0,2,0
Gude,gude1246,2,0,4,0,2,30,16,16,12,7,2,0,9,2,9,0,4,13,13,0,5,11,7,2,0,0,0,0,0,25,0,0,1,0,0,2,0
Gudjal,gudj1237,0,0,3,0,0,12,13,8,0,8,0,1,5,1,4,2,0,9,8,4,0,9,8,1,4,2,4,0,0,13,0,0,0,0,0,0,0
Guerrero Amuzgo,guer1243,0,0,12,0,0,22,24,21,6,17,1,1,12,1,11,7,0,13,10,4,4,18,8,6,7,6,4,0,0,25,0,1,1,0,0,0,0
Gugadj,guga1239,0,0,7,0,3,13,18,13,0,13,1,1,5,1,5,3,0,10,9,4,0,13,10,2,5,3,6,0,0,18,0,0,0,0,0,0,0
Gugu Badhun,gugu1253,0,0,3,0,0,11,12,8,0,8,0,1,4,1,4,2,0,8,7,3,0,8,7,1,3,2,4,0,0,12,0,0,0,0,0,0,0
Gugubera,gugu1254,0,0,6,0,0,12,16,11,0,11,0,1,5,1,5,3,0,9,8,4,0,12,8,1,5,3,6,0,0,16,0,0,0,0,0,0,0
Guugu Yimidhirr,gugu1255,0,0,6,0,3,15,17,11,0,11,0,1,6,1,5,3,0,11,8,4,0,12,10,2,5,3,6,0,0,17,0,0,0,0,0,0,0
Guinea Kpelle,guin1254,0,0,8,0,0,24,16,19,8,11,0,1,5,1,16,8,2,11,10,1,2,18,12,1,5,4,5,0,0,26,0,3,0,0,0,1,0
Guinea Kpelle,guin1254,3,0,12,0,0,21,20,19,5,15,0,0,10,1,17,9,2,6,5,1,1,24,16,2,7,6,8,0,0,30,0,2,0,0,0,1,0
Gujarati,guja1252,0,0,27,0,12,28,35,36,8,32,2,0,15,2,15,9,2,19,9,9,6,32,13,5,11,9,11,0,0,46,0,22,0,0,0,0,0
Gujarati,guja1252,0,0,25,0,4,32,36,36,9,31,2,0,12,2,18,12,1,22,8,11,2,37,20,4,15,14,14,0,0,46,0,18,0,0,0,0,0
Gujari,guja1253,3,0,19,0,1,32,30,32,10,25,1,1,14,2,13,8,1,19,8,9,2,34,22,3,14,10,8,1,0,38,0,6,0,0,0,0,0
Gujari,guja1253,0,0,18,0,14,29,28,32,10,25,2,1,10,2,13,8,1,19,9,12,6,25,13,3,9,8,11,0,0,35,0,6,0,0,0,0,0
Gumatj,guma1253,0,0,6,0,3,23,18,12,0,12,0,1,6,2,6,3,0,16,11,6,0,14,12,2,6,3,6,0,0,18,0,0,1,6,0,0,0
Northern Gumuz,gumu1244,0,0,10,0,5,31,18,20,13,14,0,1,4,1,11,5,1,19,10,8,8,21,15,2,9,5,10,0,0,27,0,1,7,0,6,3,0
Gundungurra,gund1248,0,0,6,0,3,17,19,13,0,13,0,1,6,3,5,3,0,13,9,5,0,13,11,2,6,3,6,0,0,19,0,0,0,0,0,0,0
Gungabula,gung1248,0,0,4,0,1,14,14,9,0,9,0,1,5,1,4,2,0,10,8,4,0,10,8,2,4,2,4,0,0,14,0,0,0,0,0,0,0
Bininj Kun-Wok,gunw1252,0,0,5,0,0,17,18,13,0,13,1,1,5,3,5,3,0,12,5,3,0,12,9,1,6,3,6,0,0,23,0,0,1,0,0,0,0
Gunya,guny1241,0,0,6,0,3,23,19,13,0,13,0,1,6,3,6,3,0,17,12,7,0,15,13,2,7,3,6,0,0,19,0,0,0,6,0,0,0
Gupapuyngu,gupa1247,0,0,6,0,3,23,18,12,0,12,0,1,6,2,6,3,0,16,11,6,0,14,12,2,6,3,6,0,0,18,0,0,1,6,0,0,0
Guragone,gura1252,0,0,5,0,0,20,16,11,0,11,0,1,5,2,6,3,0,13,8,3,0,13,10,1,6,3,6,0,0,16,0,0,1,5,0,0,0
Gurdjar,gurd1238,0,0,9,0,4,16,20,18,3,15,1,1,5,1,8,5,0,11,10,5,0,16,12,2,5,3,9,0,0,23,0,0,0,0,0,0,0
Gureng Gureng,gure1255,0,0,10,0,5,10,19,15,0,15,0,1,4,1,7,5,0,7,6,2,0,16,10,2,7,5,10,0,0,19,0,0,0,0,0,0,0
Gureng Gureng,gure1255,0,0,10,0,5,10,19,15,0,15,0,1,4,1,7,5,0,7,6,2,0,16,10,2,7,5,10,0,0,19,0,0,0,0,0,0,0
Gurindji,guri1247,0,0,6,0,3,15,18,13,0,13,0,1,5,3,5,3,0,11,7,3,0,13,11,2,6,3,6,0,0,18,0,0,0,0,0,0,0
Guro,guro1248,3,0,28,0,14,24,35,38,6,32,1,0,13,1,23,16,2,11,10,6,4,39,23,4,18,13,14,0,0,44,0,0,0,0,0,0,0
Gurung,guru1261,0,0,20,0,6,26,28,28,9,25,1,0,7,2,13,9,0,18,11,8,8,26,12,0,9,13,8,0,0,33,0,15,0,0,0,0,0
Guwa,guwa1242,0,0,3,0,0,18,17,11,0,11,0,1,6,4,4,2,0,14,10,6,0,10,9,1,5,2,4,0,0,17,0,0,0,0,0,0,0
Guwamu,guwa1243,0,0,6,0,3,13,15,11,0,11,0,1,4,1,5,3,0,9,7,3,0,12,10,2,5,3,6,0,0,15,0,0,0,0,0,0,0
Guwar,guwa1244,0,0,6,0,3,10,15,11,0,11,0,1,4,1,5,3,0,7,6,2,0,12,10,2,5,3,6,0,0,15,0,0,0,0,0,0,0
Gwandara,gwan1268,8,0,12,0,0,25,19,21,9,16,1,0,9,1,15,9,1,12,9,3,7,22,14,2,7,5,10,0,0,27,0,1,0,0,0,0,0
Gwandara,gwan1268,8,0,12,0,0,28,19,23,10,16,1,0,8,1,17,11,1,13,8,5,6,24,17,2,8,5,11,0,0,28,0,2,1,0,0,0,0
Gwandara,gwan1268,8,0,12,0,0,25,19,24,8,16,1,0,9,1,17,11,1,10,8,2,5,22,14,2,7,5,10,0,0,28,0,1,0,0,0,0,0
Gwandara,gwan1268,8,0,21,0,10,32,29,33,12,25,1,0,12,1,22,15,1,12,9,3,7,35,22,4,11,7,16,0,0,39,0,1,0,0,0,0,0
Gwandara,gwan1268,8,0,10,0,0,24,16,19,8,14,1,0,7,1,16,10,0,11,7,4,6,21,15,2,8,5,10,0,0,25,0,2,0,0,0,0,0
Gwandara,gwan1268,8,0,14,0,0,40,24,29,14,20,1,1,11,1,27,19,2,15,10,5,7,35,27,2,14,5,13,0,0,35,0,0,1,0,0,0,0
Gweno,gwen1239,0,0,5,0,0,21,13,15,7,9,0,1,4,1,9,3,2,10,6,5,1,15,12,1,7,3,6,0,0,19,0,1,0,0,0,0,0
Hadiyya,hadi1240,0,0,10,0,28,40,22,26,8,18,0,2,4,2,14,6,2,24,14,8,4,26,20,2,12,6,12,0,0,30,0,2,12,0,10,0,0
Hadza,hadz1240,0,0,5,0,0,54,25,16,26,8,0,0,17,9,14,6,1,36,25,21,12,29,26,1,4,3,4,0,0,27,0,13,10,0,6,0,12
Hainyaxo Bozo,hain1253,0,0,14,0,7,17,22,22,6,18,0,1,4,1,11,7,1,9,6,3,3,21,10,2,8,8,10,0,0,26,0,1,0,0,0,0,0
Hai//om,haio1238,0,0,5,0,0,21,11,14,7,9,0,1,2,2,6,3,0,13,10,4,4,15,11,2,3,4,6,0,0,16,0,1,1,0,0,0,4
Haka Chin,haka1240,0,0,7,0,1,40,21,27,15,12,0,0,9,4,17,6,3,18,17,5,6,37,30,2,21,6,6,0,0,24,0,10,3,0,0,0,0
Hakka Chinese,hakk1236,0,0,6,0,0,14,11,11,5,8,0,0,3,1,7,3,1,7,7,0,3,10,6,2,3,3,3,0,0,11,0,5,0,0,0,0,0
Hakka Chinese,hakk1236,0,0,16,0,0,20,23,23,6,19,0,0,4,1,16,11,2,11,7,4,3,26,22,5,16,9,14,0,0,23,0,7,0,0,0,0,0
Hakka Chinese,hakk1236,5,0,19,0,0,22,26,24,6,20,0,0,6,1,17,11,2,13,8,5,3,26,21,5,16,3,10,0,0,26,0,7,0,0,0,0,0
Hakka Chinese,hakk1236,4,0,9,0,0,17,15,13,5,10,0,0,5,1,8,3,1,8,8,0,4,12,8,2,7,3,4,0,0,15,0,5,1,0,0,0,0
