Name,ID,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
Afar,afar1241,0,0,10,0,4,14,16,19,5,14,0,1,2,1,8,5,1,7,6,0,1,16,8,3,5,8,10,0,0,21,0,1,0,0,0,0,0
Afitti,afit1238,3,0,6,0,0,15,14,12,2,10,0,1,4,1,6,3,1,9,6,3,1,14,10,1,6,4,6,0,0,18,0,0,0,0,0,0,0
Afrikaans,afri1274,0,0,23,0,8,14,29,31,5,26,0,1,3,1,17,12,2,6,6,0,1,27,16,3,17,6,14,0,0,33,0,1,0,0,0,0,0
Aghem,aghe1239,2,0,19,0,9,26,27,27,11,22,0,0,5,1,20,10,4,11,6,5,6,29,17,4,10,10,10,0,0,37,0,3,1,0,0,0,0
Aghem,aghe1239,0,0,10,0,0,23,18,17,9,13,0,0,5,1,13,6,2,11,8,3,6,20,14,2,6,6,6,0,0,27,0,0,1,0,0,0,0
Aghu Tharnggalu,aghu1254,0,0,7,0,0,17,17,12,0,12,0,1,5,1,6,3,0,12,11,6,0,15,11,1,6,3,7,0,0,17,0,0,0,5,0,0,0
Aguaruna,agua1253,0,0,8,0,0,11,11,12,5,9,1,0,6,0,4,2,0,7,5,2,4,9,7,2,2,2,6,0,0,11,0,1,1,0,0,0,0
Ahanta,ahan1243,2,0,14,0,0,21,22,22,9,17,0,0,10,1,16,12,1,13,5,10,3,27,21,2,13,7,8,0,0,28,0,1,0,0,0,0,0
Àhàn,ahan1244,3,0,14,0,0,22,23,26,9,19,0,1,11,1,15,8,2,12,7,5,6,23,13,2,9,7,11,0,0,31,0,1,0,0,0,0,0
Thavung,aheu1239,4,0,23,0,10,17,30,29,3,26,0,0,4,1,13,8,1,8,6,2,1,30,16,5,10,10,15,0,0,35,0,5,2,0,0,0,0
Thavung,aheu1239,0,0,50,0,22,19,58,57,3,54,1,0,4,1,20,15,1,10,7,3,1,58,26,14,18,33,32,0,0,60,0,30,1,0,0,0,0
Ahtena,ahte1237,0,0,5,0,0,26,10,18,14,7,0,0,3,5,5,3,0,14,14,0,5,17,9,1,4,8,5,0,0,18,0,7,6,0,5,0,0
Aikanã,aika1237,0,0,10,0,0,19,16,18,9,13,1,0,6,1,9,4,1,12,6,6,7,14,10,2,6,3,6,0,0,22,0,1,1,0,0,0,0
Aikanã,aika1237,0,0,10,0,0,12,17,15,2,14,1,0,7,0,8,5,0,8,7,2,1,15,10,2,7,4,10,0,0,19,0,0,1,0,0,0,0
Hokkaido Ainu,ainu1240,0,0,5,0,0,9,10,10,3,8,0,1,2,0,5,3,0,5,4,1,2,8,5,1,3,3,4,0,0,10,0,1,1,0,0,0,0
Hokkaido Ainu,ainu1240,0,0,5,0,0,8,10,10,3,8,1,0,2,0,5,3,0,5,4,1,2,8,5,1,3,3,4,0,0,10,0,1,0,0,0,0,0
Aja (Benin),ajab1235,5,0,12,0,0,26,20,25,11,16,0,1,9,1,13,6,2,13,7,5,6,23,13,2,7,8,8,0,0,31,0,0,0,0,0,0,0
Aja (Benin),ajab1235,0,0,14,0,0,20,21,23,8,17,0,0,11,1,13,7,2,10,6,3,4,23,13,2,8,7,10,0,0,29,0,1,0,0,0,0,0
Aja (Sudan),ajas1235,0,0,10,0,0,35,20,29,14,16,2,1,4,1,15,6,3,19,12,8,6,26,18,4,10,7,6,0,0,33,0,1,0,0,0,2,0
Ajyíninka Apurucayali,ajyi1238,0,0,6,0,3,16,15,14,7,11,2,0,4,0,5,2,1,12,8,4,5,12,8,2,6,3,6,0,0,15,0,4,0,0,0,0,0
