,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
10,1.8411390838031876e-16,0.0,-8.814078288361603e-16,1.1675422313712231e-17,-7.262997472253276e-16,3.1489402600040474e-15,-9.035661262091363e-16,3.416070845000482e-16,-1.1368437568857458e-15,8.555564819010215e-16,-1.1848534011938607e-16,6.462836733784695e-17,6.155082603604471e-16,4.628622117910562e-16,4.437814557198824e-16,-7.706163419712798e-16,-5.1702693870277563e-17,1.908075607117386e-17,5.54726819649853e-17,-1.0986822447433982e-16,-6.610558716271203e-16,2.4866533718562064e-16,1.1916239920578256e-15,4.123905344414996e-17,-3.9638731967212797e-16,4.936376248090786e-16,-2.4251025458201616e-16,2.9621335029846516e-17,3.175217173197326e-19,5.268750708685427e-15,-5.2395140663183066e-17,-1.2679470163425211e-15,5.736536986559367e-16,-7.732322520778117e-17,-1.1940860250992674e-16,4.474745052820451e-16,-1.1236872678205412e-15
11,-1.1156087219033105e-16,0.0,1.3633507966983904e-16,-4.16429807400115e-18,-8.592495314631842e-16,-3.448077274539225e-15,-9.023351096884156e-16,1.0032784643875288e-16,9.438819172627457e-16,7.423029619946993e-16,-3.2468060734013587e-17,-7.44764995036141e-17,-3.446846258018504e-17,4.3162516757776355e-16,-1.0217437121983422e-16,-3.9884935271356977e-16,9.478827209550886e-17,-2.8239518985337313e-15,1.3630430425682102e-15,4.378764233470494e-17,6.678264624910852e-16,2.4435677936309753e-15,7.078344994145142e-16,1.5387706509011178e-18,-1.1571555294776405e-16,7.201446646217232e-17,3.5699479100905934e-17,9.078746840316595e-18,-6.6978599074184205e-18,-9.503447539965304e-16,-1.2471255259725154e-17,5.94580979508192e-16,-4.0254240227573246e-16,-9.328797071088027e-17,-3.054459742038719e-17,-3.816151214234772e-17,1.5406941142147442e-17
12,-3.2768121010939303e-16,0.0,1.327035809337124e-15,5.404931911290176e-17,2.318004108517444e-15,4.2839374921087124e-16,7.176826315802813e-16,-3.323744605946415e-17,6.629023964082016e-16,-1.14238333122899e-15,-7.5707516024335e-17,5.908879299460293e-17,7.952366723856977e-16,7.170671233199209e-17,8.481703827766962e-16,-7.8231099891812835e-16,9.257244235821124e-16,1.2310165207208943e-17,9.127987501145432e-16,1.620325495398877e-16,1.139921298187548e-15,1.5510808161083269e-15,2.838724096782382e-15,-1.0455946572873096e-16,-8.912559610019275e-16,1.7898980211281805e-15,8.155484449775925e-17,-3.739982067015167e-16,-2.8076553556090318e-18,-2.2404500677120276e-15,1.8468854304526465e-17,-5.490333682415189e-16,1.28025718154973e-16,-2.9698273562391574e-17,5.908879299460293e-17,3.708437268671694e-17,8.393993900665598e-17
13,1.9511611853426174e-16,0.0,-9.392656053100424e-16,-2.488961527832558e-16,-7.632302428469545e-16,-2.757477006414803e-16,1.024205745239784e-15,1.1048373273470026e-16,4.0161913988519176e-16,-4.973306743712413e-16,5.3856972781539124e-17,-8.986420601262528e-17,3.1514022930454894e-16,1.2340940620226965e-16,-1.908075607117386e-17,1.9634713505498264e-16,-6.327424916505396e-16,-2.4866533718562064e-16,3.5322480291435163e-16,1.7457353034473182e-16,-1.851448847164225e-15,1.4058208666632612e-15,-2.3795549345534886e-15,2.4620330414417886e-18,1.2630229502596376e-15,-4.850205091640323e-16,-2.443567793630975e-16,-1.7503516154000216e-17,-1.2235029921520411e-18,-4.4759760693411715e-15,7.546227445184763e-17,-2.9298193193157284e-16,4.2470069964870855e-16,-1.926925547590925e-16,-1.0217437121983422e-16,2.638991666295417e-16,-2.3320069214406443e-16
14,4.43165947459522e-17,0.0,-2.400482215405744e-16,6.666723845029093e-17,-3.292969192928392e-16,8.03853788030744e-16,-1.199010091182151e-15,-4.2623947029960966e-16,5.693451408334136e-18,1.397203751018215e-16,-2.246605150315632e-17,-9.848132165767154e-18,1.5633909813155357e-16,2.3789394262931283e-16,8.063158210721857e-16,-9.811201670145528e-16,-7.767714245748843e-16,3.0153749675058307e-15,3.956179343466774e-16,1.6003214769371625e-16,3.782298259914948e-16,-1.1325351990632227e-16,-4.1977663356582494e-16,-4.770189017793465e-18,-1.1325351990632227e-16,-4.554761126667309e-17,-5.201044800045778e-17,9.740418220204077e-17,-1.3432986916538352e-17,1.6150936751858133e-15,-1.4067729810035064e-17,7.349168628703739e-16,4.856360174243928e-16,1.6888007893639767e-17,1.107914868648805e-17,-4.9548414959015996e-17,1.7334251382401092e-16
15,-1.0002009230857266e-17,0.0,-1.989322697484965e-15,-1.808824900134264e-16,2.3795549345534886e-15,-1.780049888962413e-15,4.776344100397069e-16,-9.31879506185717e-16,-9.355725557478797e-17,2.735934217302188e-16,-4.2531620790906897e-16,-1.711112963802043e-16,-3.446846258018504e-17,6.438216403370277e-16,-1.5695460639191403e-16,-2.583903676993157e-15,-3.9884935271356977e-16,7.059879746334328e-16,-3.416070845000482e-16,-4.3978065202753947e-16,1.2728710824254046e-15,-2.89042679065266e-15,3.693049562162683e-17,-6.339735081712605e-17,8.27243101924441e-16,9.109522253334617e-16,-1.5079952378830955e-17,-7.216834352726242e-17,-3.978323214864898e-17,-1.1276111329803392e-14,-2.072531720432443e-18,1.256867867656033e-15,-5.1702693870277563e-17,4.8779029633565435e-17,-2.6159101065319004e-16,-4.771727788444366e-16,4.854821403593027e-16
16,-1.407975145574523e-17,0.0,6.0566012819468e-16,-4.6663219988576397e-17,4.973306743712413e-16,5.687296325730532e-16,-1.994246763567849e-15,1.8711451114957593e-16,1.154924312033834e-15,6.031980951532382e-17,-3.7238249751807053e-16,2.1235034982435428e-16,-2.279842596375096e-15,-8.001607384685813e-17,-6.447449027275684e-17,-4.788654265604279e-16,-3.163712458252698e-16,-1.9930157470471277e-15,3.043688347482411e-16,-3.8607755631109047e-16,-2.637452895644516e-16,2.28476666245798e-15,4.579381457081727e-16,8.155484449775924e-18,-3.3976055971896684e-15,2.1382756964921932e-15,-1.107914868648805e-17,9.390347897124072e-17,1.1973559127324324e-18,3.663505165665382e-15,3.746666102030019e-17,1.4772198248650732e-17,1.9942467635678489e-16,-1.0275141021392214e-16,-6.333579999109001e-16,3.252961156004963e-16,5.633439352948993e-16
17,-5.185657093536767e-17,0.0,1.1743897607677332e-15,3.180446589081248e-17,9.109522253334617e-16,-1.1571555294776405e-16,1.3812005362488435e-15,-1.4341342466398418e-16,-3.1929491006198193e-17,1.2039341572650347e-15,5.5395743432440246e-17,1.1528469716551175e-15,-5.662675995316113e-16,-3.865391875063608e-16,-6.793672423728436e-17,-5.970430125496337e-16,2.1296585808471472e-16,-1.6372519725587893e-16,-6.535158954377048e-16,1.329497842378566e-16,-1.5523118326290476e-15,4.924066082883577e-17,-1.7381953272579027e-15,-1.644945825813295e-16,-1.0759084391100616e-15,-1.898227474951619e-15,2.6159101065319004e-17,-1.1209944191814644e-16,7.143261880980033e-18,4.1657599061195065e-15,9.565383058664074e-17,-6.585938385856784e-16,-1.0340538774055513e-15,2.2289092878302693e-16,3.7546003881987276e-17,3.693049562162683e-18,-6.997174842310108e-16
18,-1.5480032748065246e-16,0.0,7.976987054271395e-16,-2.5678235236912406e-18,1.3479630901893792e-15,-3.227725317330185e-15,-8.198570028001156e-16,3.286814110324788e-16,-1.083294538234387e-16,6.696729872721665e-16,-1.6003214769371625e-16,-6.555162972838762e-16,-8.223190358415574e-16,7.761559163145238e-16,7.524588482906467e-17,-1.1860844177145817e-15,1.409513916225424e-16,1.3664283380001927e-15,-2.1912094068831918e-16,-4.518600016371133e-16,5.339534158626879e-16,-2.4595710084003467e-15,4.924066082883577e-18,1.7541985420272745e-17,2.1124243495570547e-15,-6.155082603604471e-17,1.2337093693599712e-16,-1.2425573006026526e-17,1.960009116585299e-17,2.156740944303007e-15,2.2555011681411542e-17,5.194889717442174e-16,3.323744605946415e-16,8.64404413143703e-17,-2.0927280852255202e-17,-3.669968002399166e-16,1.1113771026133323e-16
19,2.09633457893857e-17,0.0,-1.81698038458404e-15,4.712485118384673e-17,-7.447649950361411e-16,2.2896907285408635e-15,7.619992263262335e-16,2.6466855195499227e-17,6.115074566681043e-16,5.478023517207979e-16,5.631900582298092e-17,1.8711451114957593e-16,-6.413596072955859e-16,3.536094955770769e-16,3.277581486419381e-16,-8.081623458532671e-16,9.971233817839244e-17,-1.6951097490326714e-15,-3.850004168554597e-16,-1.9803978277097387e-16,-8.838698618776021e-16,-1.8219044506669235e-16,-7.607682098055127e-16,5.762696087624687e-17,2.9298193193157284e-16,-3.483776753640131e-15,2.0927280852255202e-17,2.80825643789454e-17,-8.80074628326903e-18,-4.751723769982652e-15,2.0056913702839258e-17,1.5412326839425597e-15,-6.986018755091075e-16,-1.2079349609573775e-17,-1.5807021511381733e-16,-1.9034592951646827e-16,-6.986018755091075e-17
